s2_platform,landsat_platform,n_pairs,n_years,intercept,slope,tree_offset,rmse,bias,grass_residual_bias,tree_residual_bias,maximum_annual_slope_deviation,maximum_annual_rmse_ratio,quality_pass,quality_flags,years
S2A,Landsat 7,424,7,0.12518932172190508,0.7735161326790535,0.07552191790493473,0.11169292824240883,1.4034894839601035e-16,1.6308060696647036e-16,1.1799347029155733e-16,0.45832420202544,1.3455105243892969,False,annual_slope_stability,2017;2018;2019;2020;2021;2022;2023
S2A,Landsat 8,1008,9,0.10567053590126514,0.7393316049661323,0.09103577283819625,0.1242999682794378,5.991679815437352e-17,2.1872890995746098e-17,1.0307592089566894e-16,0.49237390986677587,1.2975199085936389,False,annual_slope_stability,2017;2018;2019;2020;2021;2022;2023;2024;2025
S2A,Landsat 9,289,4,-0.08746770576070806,1.1513546730217024,0.05713876088712126,0.10567889914836354,-2.689121512932905e-16,-3.454226152422463e-16,-1.7771853640454931e-16,0.24071857763117976,0.988148126285468,False,annual_slope_stability,2022;2023;2024;2025
S2B,Landsat 7,314,6,0.33439021901760974,0.22672303105045674,0.17019011529217806,0.1572377652823862,-2.6871640086468756e-16,-2.253213048240986e-16,-3.046582594044915e-16,0.786626682714909,1.333394991212421,False,slope;annual_slope_stability,2017;2018;2019;2020;2021;2023
S2B,Landsat 8,491,9,-0.025147300786738783,1.040654922385363,0.05142856059967666,0.10418128099664327,-1.7908281782141019e-16,-2.0994878987074944e-16,-1.4162460378231163e-16,0.5646316362318347,1.0974791802744395,False,annual_slope_stability,2017;2018;2019;2020;2021;2022;2023;2024;2025
S2B,Landsat 9,460,4,-0.0053662981311090934,0.9750940282781421,0.09039863262082144,0.11520093169670648,-5.07806357350289e-16,-5.883482310119659e-16,-4.255854927729767e-16,0.2591842209924612,1.253000616459499,False,annual_slope_stability,2022;2023;2024;2025
,Landsat 8,66,1,0.04207292861828978,0.947659853127208,0.11603550334168235,0.11175031533520717,-1.0177044392397268e-16,-1.4432899320127036e-16,-5.730183352904034e-17,0.0,1.0,False,year_coverage,2025
,Landsat 9,205,1,-0.07378069246554189,1.1348933842307931,0.038744772348619325,0.11915097680353953,3.6718595643700297e-16,3.745752456956046e-16,3.6259411548927987e-16,0.0,1.0,False,year_coverage,2025
