sensor_strategy,endpoint,estimate,standard_error,ci_low,ci_high,p_value,bootstrap_ci_low,bootstrap_ci_high,spearman_rho,spearman_p,n_patch_years,n_patches,n_blocks,loo_negative,loo_total,loo_min,loo_max
A_S2_only,summer_NDVI,-0.05401262306540529,0.08561738324129552,-0.2218226942183445,0.11379744808753393,0.5281317573294677,-0.246652236170178,0.27726029651294715,-0.2521419983200912,0.027997080159638504,76,14,11,9,11,-0.10829493314185668,0.0688385618383028
A_S2_only,peak_NDVI,0.07152270433852898,0.07343275444223599,-0.07240549436825355,0.2154509030453115,0.3300619382904413,-0.2243211820991649,0.36256671972533716,0.06363884132061906,0.5849628540536558,76,14,11,0,11,0.03592378554925792,0.14881628030173058
B_phase2_pooled,summer_NDVI,-0.08592600436497219,0.052114223344672715,-0.18806988212053072,0.016217873390586335,0.09918832823985906,-0.20844669675721106,0.12553069163974695,-0.3056668297680189,0.000253009400507553,139,21,16,16,16,-0.11692603517171096,-0.045243198690152406
B_phase2_pooled,peak_NDVI,-0.014901316150988048,0.05551667372776015,-0.12371399665739795,0.09391136435542184,0.7883825540815139,-0.19832379488578472,0.14160850172108752,-0.0782216239281189,0.36003684069406605,139,21,16,14,16,-0.044225586920609086,0.03190389066164301
C_platform_aware,summer_NDVI,-0.079320702964943,0.06017274307549569,-0.19725927939291454,0.03861787346302856,0.18743118250512292,-0.23903535914542953,0.1339060755009914,-0.26022932588956166,0.0033798810945028113,125,21,16,16,16,-0.11554259186597632,-0.022804167706058046
C_platform_aware,peak_NDVI,-0.008004659763192219,0.057868621590531744,-0.12142715808063444,0.10541783855425,0.889983804793617,-0.17857910549503975,0.1807394329837086,-0.07170537993620024,0.4268112309850215,125,21,16,14,16,-0.036707776261709714,0.04955067931317632
