endpoint,sample,estimate,ci_low,ci_high,n_patch_years,n_patches,n_blocks
summer_NDVI,original_validated,-0.079320702964943,-0.1972592793929145,0.0386178734630285,125,21,16
summer_NDVI,independent_replication,-0.6365352581563909,-1.0960566319285512,-0.1770138843842306,74,12,9
peak_NDVI,original_validated,-0.0080046597631922,-0.1214271580806344,0.10541783855425,125,21,16
peak_NDVI,independent_replication,-0.4966195511265826,-0.8956551790335723,-0.097583923219593,74,12,9
