patch_id,block_id,date_landsat,date_sentinel2,year,vegetation_type,s2_platform,landsat_platform,sentinel2_item_id,landsat_item_id,time_difference_days,absolute_time_difference_days,s2_ndvi,landsat_ndvi,s2_valid_sample_points,landsat_valid_sample_points,atmospheric_qa_metadata
C03_13_grass_E1,C03_13,2017-11-04,2017-11-02,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20171102T022841_R046_T51RUQ_20201014T175705,LE07_L2SP_118039_20171104_02_T1,-2,2,0.2871553463349025,0.3155165712022647,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_grass_E1,C03_13,2017-11-12,2017-11-12,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20171112T023901_R046_T51RUQ_20201014T192426,LC08_L2SP_118038_20171112_02_T1,0,0,0.3038740920096852,0.4070680991643765,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-03-01,2017-02-28,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170228T023631_R089_T51RUQ_20210208T175926,LC08_L2SP_118039_20170301_02_T1,-1,1,0.3787234042553192,0.3273628191405753,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-03-09,2017-03-07,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.4350945857795174,0.3602742603372741,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-07-15,2017-07-15,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.7400330266572306,0.6556444494262376,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-07-31,2017-07-28,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170728T024901_R089_T51RUQ_20210210T153524,LE07_L2SP_118039_20170731_02_T1,-3,3,0.5693321353698712,0.6158069672103742,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C03_13_tree_E1,C03_13,2017-08-24,2017-08-27,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.6797653958944282,0.7686052724168936,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-03-09,2017-03-07,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.3457127252867285,0.307691269734179,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-07-31,2017-07-28,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170728T024901_R089_T51RUQ_20210210T153524,LE07_L2SP_118039_20170731_02_T1,-3,3,0.2041522491349481,0.2872132212380809,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118038_20170824_02_T1,3,3,0.3312472060795708,0.3524732507982744,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.3312472060795708,0.3620308270729828,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_grass_E1,C05_06,2017-11-12,2017-11-12,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20171112T023901_R046_T51RUQ_20201014T192426,LC08_L2SP_118038_20171112_02_T1,0,0,0.3106092884533447,0.5032566786460072,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_tree_E1,C05_06,2017-07-15,2017-07-15,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.7578994214508233,0.7754634195235988,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_tree_E1,C05_06,2017-08-24,2017-08-27,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.78955042527339,0.8277922577478894,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_06_tree_E1,C05_06,2017-11-04,2017-11-02,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20171102T022841_R046_T51RUQ_20201014T175705,LE07_L2SP_118039_20171104_02_T1,-2,2,0.7913787430075683,0.7805438965336657,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_09_grass_E1,C05_09,2017-03-09,2017-03-07,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.2939001848428835,0.1738254850912124,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_09_grass_E1,C05_09,2017-07-15,2017-07-15,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.5288423806409419,0.4766250730466466,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_09_grass_E1,C05_09,2017-11-04,2017-11-02,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20171102T022841_R046_T51RUQ_20201014T175705,LE07_L2SP_118039_20171104_02_T1,-2,2,0.3549959382615759,0.3187124690921938,2,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_09_tree_E1,C05_09,2017-03-09,2017-03-07,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.7246335153779822,0.6075345772387334,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_09_tree_E1,C05_09,2017-07-15,2017-07-15,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.8584833882830333,0.8054372169588041,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_09_tree_E1,C05_09,2017-08-24,2017-08-27,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118038_20170824_02_T1,3,3,0.647673314339981,0.8165795135574142,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C05_09_tree_E1,C05_09,2017-08-24,2017-08-27,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.647673314339981,0.8141446080002279,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_grass_E1,C06_10,2017-03-01,2017-02-28,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170228T023631_R089_T51RUQ_20210208T175926,LC08_L2SP_118038_20170301_02_T1,-1,1,0.2726089785296031,0.3778733185765367,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_grass_E1,C06_10,2017-03-09,2017-03-07,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118038_20170309_02_T1,-2,2,0.2555948174322732,0.3011351762697295,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_grass_E1,C06_10,2017-03-09,2017-03-07,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.2555948174322732,0.3386277971090505,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_grass_E1,C06_10,2017-07-15,2017-07-15,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118038_20170715_02_T1,0,0,0.4439876670092497,0.4279182577527852,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_grass_E1,C06_10,2017-07-15,2017-07-15,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.4439876670092497,0.4394932671863926,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_grass_E1,C06_10,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118038_20170824_02_T1,3,3,0.5175679043109893,0.534831490715613,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_grass_E1,C06_10,2017-08-24,2017-08-27,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170827T023551_R089_T51RUQ_20210201T120037,LC08_L2SP_118039_20170824_02_T1,3,3,0.5175679043109893,0.5331752291622259,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_grass_E1,C06_10,2017-09-17,2017-09-18,2017,grass,S2B,Landsat 7,S2B_MSIL2A_20170918T022539_R046_T51RUQ_20210202T053743,LE07_L2SP_118038_20170917_02_T1,1,1,0.5478927203065134,0.4470840939437137,2,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_grass_E1,C06_10,2017-11-04,2017-11-02,2017,grass,S2A,Landsat 7,S2A_MSIL2A_20171102T022841_R046_T51RUQ_20201014T175705,LE07_L2SP_118039_20171104_02_T1,-2,2,0.3956274333632824,0.4086431668122004,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_tree_E1,C06_10,2017-03-09,2017-03-07,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118038_20170309_02_T1,-2,2,0.6002691790040376,0.4037915294074941,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_tree_E1,C06_10,2017-03-09,2017-03-07,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170307T022541_R046_T51RUQ_20210208T201747,LE07_L2SP_118039_20170309_02_T1,-2,2,0.6002691790040376,0.4619700006406209,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_tree_E1,C06_10,2017-07-15,2017-07-15,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118038_20170715_02_T1,0,0,0.7313582726587999,0.723014314987032,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_tree_E1,C06_10,2017-07-15,2017-07-15,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170715T023901_R046_T51RUQ_20210210T091137,LE07_L2SP_118039_20170715_02_T1,0,0,0.7313582726587999,0.7423922868333834,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_tree_E1,C06_10,2017-07-31,2017-07-28,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20170728T024901_R089_T51RUQ_20210210T153524,LE07_L2SP_118039_20170731_02_T1,-3,3,0.6727748691099477,0.673002379633926,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_tree_E1,C06_10,2017-09-17,2017-09-18,2017,tree,S2B,Landsat 7,S2B_MSIL2A_20170918T022539_R046_T51RUQ_20210202T053743,LE07_L2SP_118038_20170917_02_T1,1,1,0.7574692442882249,0.715440041992079,3,2,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C06_10_tree_E1,C06_10,2017-11-04,2017-11-02,2017,tree,S2A,Landsat 7,S2A_MSIL2A_20171102T022841_R046_T51RUQ_20201014T175705,LE07_L2SP_118039_20171104_02_T1,-2,2,0.7800212539851222,0.6866139163063876,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_04_grass_E1,C07_04,2017-03-01,2017-02-28,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170228T023631_R089_T51RUQ_20210208T175926,LC08_L2SP_118038_20170301_02_T1,-1,1,0.2074074074074074,0.185816986806624,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_04_grass_E1,C07_04,2017-03-01,2017-02-28,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170228T023631_R089_T51RUQ_20210208T175926,LC08_L2SP_118039_20170301_02_T1,-1,1,0.2074074074074074,0.2077608008721493,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_04_grass_E1,C07_04,2017-04-18,2017-04-19,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170419T024901_R089_T51RUQ_20210209T085033,LC08_L2SP_118038_20170418_02_T1,1,1,0.4176561693340216,0.3499555859241544,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_04_grass_E1,C07_04,2017-04-18,2017-04-19,2017,grass,S2A,Landsat 8,S2A_MSIL2A_20170419T024901_R089_T51RUQ_20210209T085033,LC08_L2SP_118039_20170418_02_T1,1,1,0.4176561693340216,0.3615094756311334,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
C07_04_tree_E1,C07_04,2017-03-01,2017-02-28,2017,tree,S2A,Landsat 8,S2A_MSIL2A_20170228T023631_R089_T51RUQ_20210208T175926,LC08_L2SP_118038_20170301_02_T1,-1,1,0.454675743461125,0.4006940388249442,3,3,S2 SCL clear categories and Landsat QA_PIXEL bits 0-5 applied upstream; scene-level values retained in raw point tables
