patch_id,block_id,vegetation_type,patch_area_ha,centroid_lon,centroid_lat,built_fraction_1000m,built_fraction_90m,crop_context_1000m,worldcover_local_purity_90m,validation_confidence,selection_basis
C03_07_tree_R1,C03_07,tree,14.539528201448967,121.41187723214287,30.887718750000015,0.16705943964388584,0.0,0.5805184603299293,0.5666666666666667,MEDIUM,WorldCover class/component area/purity; no NDVI outcomes
C03_07_grass_R1,C03_07,grass,38.53604162475198,121.37946639150947,30.872074208221022,0.08091123330714847,0.0,0.681592039800995,0.7333333333333333,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C03_10_tree_R1,C03_10,tree,66.15628093841595,121.5681483025901,30.885651736656108,0.22204765645456925,0.0,0.30295888976171775,1.0,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C03_10_grass_R1,C03_10,grass,37.18589897114027,121.57719361033553,30.871618365921822,0.12856768787640743,0.0,0.48232521602513745,1.0,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C06_14_tree_R1,C06_14,tree,8.297894197562456,121.74612500000003,31.007492187500002,0.3294056035611417,0.0,0.384917517674784,0.8666666666666667,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C06_14_grass_R1,C06_14,grass,5.393591343367398,121.77453125000002,31.008197115384608,0.36004189578423673,0.06666666666666667,0.45247446975648076,0.5333333333333333,MEDIUM,WorldCover class/component area/purity; no NDVI outcomes
C07_07_tree_R1,C07_07,tree,77.43676954952869,121.40299050368142,31.0625884789157,0.6428384393820372,0.16666666666666666,0.03508771929824561,0.8333333333333334,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C07_07_grass_R1,C07_07,grass,7.569741511238765,121.3928189212329,31.033756421232862,0.5755433359518198,0.06666666666666667,0.14166012045037968,0.9,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C07_09_tree_R1,C07_09,tree,221.26241605255808,121.51796699273673,31.04361176194938,0.28724797067295105,0.0,0.066509557475779,1.0,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C07_09_grass_R1,C07_09,grass,13.792401341367208,121.49880521616545,31.027165178571426,0.38256087981146897,0.06666666666666667,0.2956271275202933,0.6333333333333333,MEDIUM,WorldCover class/component area/purity; no NDVI outcomes
C09_04_tree_R1,C09_04,tree,125.33559009468615,121.24555836776841,31.13641993801672,0.13930348258706468,0.13333333333333333,0.44200052369730297,0.5666666666666667,MEDIUM,WorldCover class/component area/purity; no NDVI outcomes
C09_04_grass_R1,C09_04,grass,14.500675006004222,121.25334821428567,31.14272098214284,0.11599895260539408,0.06666666666666667,0.4223618748363446,0.8,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C09_07_tree_R1,C09_07,tree,78.42536983740418,121.38435291446493,31.120766388705384,0.6119402985074627,0.3333333333333333,0.01780570830060225,0.6666666666666666,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C09_07_grass_R1,C09_07,grass,7.355824911681453,121.39188600352115,31.118069982394356,0.653312385441215,0.06666666666666667,0.03273108143493061,0.5,MEDIUM,WorldCover class/component area/purity; no NDVI outcomes
C09_10_tree_R1,C09_10,tree,116.10911461805401,121.54508042484376,31.14260802297092,0.5467399842890809,0.23333333333333334,0.06834249803613511,0.7333333333333333,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C09_10_grass_R1,C09_10,grass,14.08437308108211,121.5386213235294,31.156160386029423,0.5713537575281488,0.0,0.09924063891070961,0.9666666666666667,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C10_05_tree_R1,C10_05,tree,77.56197862342248,121.29231329272378,31.16304426735668,0.5082482325216026,0.23333333333333334,0.04032469232783451,0.7666666666666667,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C10_05_grass_R1,C10_05,grass,4.555005532973865,121.27613636363635,31.19156960227273,0.5959675307672165,0.23333333333333334,0.08824299554857293,0.6666666666666666,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C11_03_tree_R1,C11_03,tree,18.625722450877745,121.17702604166674,31.2341597222222,0.22780832678711704,0.0,0.37261063105525005,0.9333333333333333,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C11_03_grass_R1,C11_03,grass,31.25139748643379,121.1657026076162,31.229399834437157,0.17412935323383086,0.0,0.4548311076197958,0.5333333333333333,MEDIUM,WorldCover class/component area/purity; no NDVI outcomes
C12_06_tree_R1,C12_06,tree,72.71791419493785,121.35115420519193,31.267755823257392,0.5839224927991621,0.26666666666666666,0.062058130400628436,0.7333333333333333,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C12_06_grass_R1,C12_06,grass,6.514943020470504,121.36641121031745,31.29294890873016,0.3506153443309767,0.06666666666666667,0.26211050013092435,0.5333333333333333,MEDIUM,WorldCover class/component area/purity; no NDVI outcomes
C18_16_tree_R1,C18_16,tree,135.53518182889974,121.87921779870625,31.53346556316632,0.10028803351662739,0.0,0.3071484681853888,1.0,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C18_16_grass_R1,C18_16,grass,33.31583562016162,121.85178840944265,31.535290731424116,0.2859387274155538,0.7333333333333333,0.40377062058130403,0.26666666666666666,LOW,WorldCover class/component area/purity; no NDVI outcomes
C22_05_tree_R1,C22_05,tree,194.66431540194674,121.3020249702538,31.71810194672115,0.11713106295149639,0.2,0.3562951496388029,0.4666666666666667,MEDIUM,WorldCover class/component area/purity; no NDVI outcomes
C22_05_grass_R1,C22_05,grass,5.45659696238961,121.28795106132071,31.707172759433966,0.09055727554179567,0.0,0.6369969040247678,0.9333333333333333,HIGH,WorldCover class/component area/purity; no NDVI outcomes
C22_07_tree_R1,C22_07,tree,398.1911790545323,121.38615757497412,31.715892176189094,0.0846233230134159,0.0,0.6065531475748194,0.0,LOW,WorldCover class/component area/purity; no NDVI outcomes
C22_07_grass_R1,C22_07,grass,22.85144035298783,121.41842764639635,31.72540399774774,0.0784313725490196,0.0,0.4540763673890609,0.43333333333333335,MEDIUM,WorldCover class/component area/purity; no NDVI outcomes
C23_06_tree_R1,C23_06,tree,479.3171341686433,121.34207257674981,31.754651741627384,0.07972136222910217,0.0,0.4362745098039216,0.2,LOW,WorldCover class/component area/purity; no NDVI outcomes
