endpoint,model,estimate,standard_error,ci_low,ci_high,p_value,bootstrap_ci_low,bootstrap_ci_high,n_patch_years,n_patches,n_blocks,original_patch_years,replication_patch_years,loo_negative,loo_total,formula,contrast_30pct_vs_5pct_built,contrast_75pct_vs_5pct_built,grass_vs_tree_slope_difference,grass_vs_tree_interaction_p
summer_NDVI,crop_adjusted,-0.11358850184649538,0.058292538611995494,-0.22784187752600654,0.0006648738330157777,0.051343906967945496,-0.24920916859077996,0.07377013123921147,199,33,25,125,74,25,25,summer_NDVI ~ built_fraction_1000m + C(vegetation_type) + C(year) + crop_context_1000m,-0.028397125461623846,-0.07951195129254676,,
summer_NDVI,no_crop_context,-0.18206257352567606,0.05700441412967695,-0.2937912252198429,-0.07033392183150924,0.001403973563463182,-0.30985638066395155,-0.08880004346598318,199,33,25,125,74,25,25,summer_NDVI ~ built_fraction_1000m + C(vegetation_type) + C(year),-0.045515643381419016,-0.12744380146797324,,
summer_NDVI,vegetation_interaction,-0.1978755723830724,0.10981856814935366,-0.4131199659558056,0.017368821189660766,0.07157046267324318,-0.3933589305427429,0.42453795249751547,199,33,25,125,74,25,25,summer_NDVI ~ built_fraction_1000m + C(vegetation_type) + C(year) + crop_context_1000m + built_fraction_1000m:C(vegetation_type),-0.0494688930957681,-0.13851290066815067,0.12839703414937653,0.3778629494660398
peak_NDVI,crop_adjusted,-0.04361764124267643,0.053180653452909336,-0.14785172201037872,0.060616439525025864,0.4121142208995122,-0.16786583646199849,0.12386164035624311,199,33,25,125,74,25,25,peak_NDVI ~ built_fraction_1000m + C(vegetation_type) + C(year) + crop_context_1000m,-0.010904410310669108,-0.0305323488698735,,
peak_NDVI,no_crop_context,-0.1146877814730244,0.05473682580250763,-0.22197196004593936,-0.0074036029001094406,0.03614804874939564,-0.23578177778595302,-0.013388784808831565,199,33,25,125,74,25,25,peak_NDVI ~ built_fraction_1000m + C(vegetation_type) + C(year),-0.0286719453682561,-0.08028144703111707,,
peak_NDVI,vegetation_interaction,-0.11848064917260939,0.09869333651234286,-0.31191958873680137,0.07495829039158261,0.22994797075168505,-0.3261395605925003,0.5129102718654376,199,33,25,125,74,25,25,peak_NDVI ~ built_fraction_1000m + C(vegetation_type) + C(year) + crop_context_1000m + built_fraction_1000m:C(vegetation_type),-0.029620162293152348,-0.08293645442082657,0.11404107563013896,0.3364841005939868
